Code_Région;Région;année_financement;Construction_Surface_moy (m² SU);Construction_Prixderevient_m²;Construction_Prixderevient_logement;Réhabilitation_Surface_moy (m² SU);Réhabilitation_Prixderevient_m²;Réhabilitation_Prixderevient_logement
1;GUADELOUPE;2018;77;2066;159478;73;556;40585
3;GUYANE;2016;88;1917;168086;72;364;26015
84;AUVERGNE RHONE ALPES;2018;63;2245;140629;96;270;25838
27;BOURGOGNE FRANCHE COMTE;2016;70;1888;132407;99;265;26123
44;GRAND EST;2016;66;2031;134404;102;182;18505
52;PAYS DE LA LOIRE;2017;61;2050;124178;81;89;7190
93;PROVENCE ALPES COTE D'AZUR;2017;63;2194;137884;93;115;10723
4;LA REUNION;2017;82;2001;164239;7;852;6037
6;MAYOTTE;2016;92;2280;210486;0;0;0
6;MAYOTTE;2017;96;2142;205404;0;0;0
6;MAYOTTE;2018;86;2200;189797;0;0;0
1;GUADELOUPE;2016;80;1980;158417;0;0;0
84;AUVERGNE RHONE ALPES;2017;64;2181;140014;94;209;19578
24;CENTRE VAL DE LOIRE;2016;70;2001;140492;87;113;9768
32;HAUTS-DE-FRANCE;2018;65;1986;129148;96;366;35317
11;ILE DE FRANCE;2017;48;2972;141667;83;244;20324
28;NORMANDIE;2018;65;1980;129399;93;226;20999
75;NOUVELLE-AQUITAINE;2016;61;1992;121005;92;224;20687
76;OCCITANIE;2016;65;1875;121877;102;47;4774
52;PAYS DE LA LOIRE;2018;73;2030;147471;80;68;5433
4;LA REUNION;2018;73;2114;154775;68;618;42231
2;MARTINIQUE;2016;72;1819;131305;79;203;16129
3;GUYANE;2018;93;1939;180412;63;595;37384
84;AUVERGNE RHONE ALPES;2016;61;2235;136002;77;157;12043
53;BRETAGNE;2016;61;1861;113046;93;75;7003
53;BRETAGNE;2017;64;1801;115141;103;109;11170
24;CENTRE VAL DE LOIRE;2018;66;2103;138146;50;201;10069
94;CORSE;2018;72;2120;152810;0;0;0
32;HAUTS-DE-FRANCE;2017;64;2059;132305;97;249;24094
11;ILE DE FRANCE;2016;52;2834;148392;96;170;16415
28;NORMANDIE;2017;61;2166;133052;91;167;15111
75;NOUVELLE-AQUITAINE;2018;60;2090;126212;98;159;15610
76;OCCITANIE;2017;60;1865;112521;85;66;5586
3;GUYANE;2017;87;1931;168883;88;248;21744
27;BOURGOGNE FRANCHE COMTE;2017;66;1997;132540;51;442;22482
53;BRETAGNE;2018;66;1707;112977;92;226;20814
24;CENTRE VAL DE LOIRE;2017;72;2000;143632;65;153;9883
94;CORSE;2017;70;2184;153322;103;126;13019
44;GRAND EST;2018;61;2074;125927;86;309;26492
32;HAUTS-DE-FRANCE;2016;59;2032;119373;98;193;18989
11;ILE DE FRANCE;2018;53;3004;159235;90;235;21049
75;NOUVELLE-AQUITAINE;2017;63;1986;125217;86;352;30136
93;PROVENCE ALPES COTE D'AZUR;2016;62;2258;139079;28;149;4091
93;PROVENCE ALPES COTE D'AZUR;2018;60;2293;138545;108;153;16420
4;LA REUNION;2016;84;2021;169806;62;1158;72332
1;GUADELOUPE;2017;75;2207;164462;0;0;0
2;MARTINIQUE;2017;76;1853;140555;0;0;0
2;MARTINIQUE;2018;75;1912;144278;0;0;21826
27;BOURGOGNE FRANCHE COMTE;2018;55;2176;119737;95;353;33414
94;CORSE;2016;69;2121;146412;104;146;15186
44;GRAND EST;2017;61;2008;123267;73;180;13082
28;NORMANDIE;2016;64;1910;122908;93;97;9054
76;OCCITANIE;2018;64;1917;122651;87;242;21142
52;PAYS DE LA LOIRE;2016;59;1992;117765;62;115;7156
